376,379,340
925,903,904
838,812,845
764,730,727
689,729,728
495,453,494
545,547,583
878,900,877
807,808,838
808,812,838
808,776,775
101,100,74
73,89,63
22,10,8
272,309,310
537,536,534
831,862,864
943,958,949
303,305,268
350,313,349
505,547,545
883,907,904
879,878,847
847,842,815
738,741,774
741,776,774
739,741,702
741,739,776
184,221,207
188,185,157
23,9,10
22,23,10
21,22,8
11,21,8
48,50,72
50,48,27
49,48,72
172,143,141
41,39,40
271,270,308
689,688,651
688,689,728
688,650,651
650,612,651
729,766,728
765,764,798
833,831,864
833,799,831
799,833,800
453,452,413
250,284,285
305,337,340
350,380,342
505,504,465
438,455,415
397,438,415
957,948,961
948,947,962
928,945,941
946,929,930
928,929,945
929,928,907
866,897,896
820,788,801
852,819,851
902,879,880
277,241,278
294,258,296
259,295,296
411,370,409
354,394,352
450,411,451
15,26,27
48,29,27
29,15,27
79,105,106
232,233,198
757,760,793
767,766,729
730,767,729
766,767,800
918,916,895
894,918,895
919,939,938
913,916,935
487,448,447
529,570,530
407,449,406
363,407,406
364,363,327
363,364,407
407,405,447
405,412,447
364,405,407
725,686,724
527,568,557
435,394,396
603,641,602
678,717,677
272,236,235
341,381,376
665,628,627
462,423,461
423,462,454
596,636,617
397,439,438
318,317,280
317,318,355
97,124,96
781,814,782
908,907,883
908,909,930
865,866,896
821,820,853
820,821,788
882,881,850
817,819,850
849,817,850
749,786,750
900,901,922
902,901,879
270,307,308
431,470,469
194,162,164
473,434,474
434,473,471
432,434,471
144,172,141
116,144,141
99,73,74
205,211,176
315,277,278
293,255,256
222,185,188
289,326,297
367,368,409
370,365,366
47,50,27
26,47,27
25,45,42
45,25,46
29,30,15
13,6,18
85,59,63
83,79,106
165,197,198
266,303,268
233,266,268
269,266,234
266,269,303
532,533,571
643,605,644
605,643,604
723,688,728
611,574,612
918,937,916
916,937,935
955,939,940
939,955,938
833,825,800
529,489,488
489,529,530
726,725,762
761,725,724
594,568,604
568,594,557
527,531,568
678,718,717
321,320,357
178,148,149
216,215,249
269,306,303
306,341,337
262,238,228
262,236,272
418,384,424
546,584,547
455,422,415
264,239,230
279,304,267
375,377,415
377,397,415
398,362,404
398,439,397
439,398,404
242,279,267
870,849,880
926,905,919
820,839,853
905,886,896
884,885,909
636,657,617
496,501,538
806,813,812
779,806,812
780,777,810
431,430,470
336,314,302
239,276,270
276,307,270
148,119,149
177,147,146
173,206,205
173,143,172
316,354,352
316,315,278
315,316,352
353,319,352
155,156,127
156,183,154
127,156,154
220,183,187
258,223,257
326,332,297
44,23,22
44,26,23
44,22,43
44,47,26
122,95,121
122,121,150
93,86,113
120,93,113
119,93,120
93,119,92
31,29,48
49,31,48
32,51,28
71,49,72
71,69,49
112,116,141
116,112,89
114,112,141
112,114,87
85,112,87
107,81,84
55,81,80
36,34,28
130,131,103
232,199,234
199,197,167
533,572,571
532,569,528
569,532,571
529,569,570
569,606,570
569,529,528
912,914,934
915,913,935
966,964,972
954,966,953
966,954,964
956,955,940
796,827,828
797,796,828
867,866,836
866,867,897
897,920,919
920,939,919
490,450,451
490,489,530
687,675,649
726,687,725
687,726,715
595,635,599
610,594,604
517,515,557
321,283,320
178,179,150
216,179,215
179,178,215
218,253,252
134,161,133
194,195,162
274,273,237
238,275,274
433,460,425
338,377,375
287,251,252
318,356,355
398,356,362
362,324,361
242,244,279
244,242,210
208,209,243
90,117,103
840,870,848
840,814,816
840,848,814
769,770,801
803,770,772
770,803,801
804,772,771
692,691,654
691,653,654
748,785,784
785,748,750
787,785,750
590,630,629
742,777,780
514,473,474
625,586,587
513,552,511
507,512,472
509,510,470
468,509,470
430,388,387
466,507,472
428,385,389
346,385,347
385,346,389
373,414,374
414,373,383
336,339,314
339,336,374
421,458,420
119,118,92
246,212,247
211,212,176
212,245,247
245,212,211
215,214,249
214,248,249
213,214,177
240,206,207
240,241,277
240,245,211
245,240,277
292,293,329
292,316,278
255,292,278
292,255,293
222,186,185
410,369,406
369,363,406
124,125,152
97,125,124
59,61,40
93,67,86
67,66,45
67,45,46
64,65,43
77,75,54
31,53,52
53,76,77
76,104,77
62,88,86
114,88,87
86,88,113
115,88,114
88,115,113
115,142,113
142,171,146
142,120,113
129,105,102
105,129,133
129,131,158
169,200,166
684,647,650
758,761,724
758,756,793
890,912,888
859,890,888
912,890,914
914,890,891
965,952,953
826,794,825
795,796,762
827,857,828
856,827,824
856,857,827
867,898,897
898,920,897
635,634,675
675,634,649
649,634,648
634,610,648
595,634,635
595,558,594
517,558,520
719,718,680
719,679,716
679,719,680
152,180,181
132,111,106
311,300,310
275,300,311
499,541,506
499,460,472
334,299,335
304,299,267
299,304,335
286,318,280
931,932,947
931,911,932
709,670,671
670,709,707
747,748,784
748,747,711
669,670,707
670,669,631
708,742,704
708,669,707
669,708,704
705,706,743
706,667,704
667,669,704
670,632,671
592,632,591
653,621,614
582,621,593
621,633,593
621,659,633
659,621,653
586,624,585
624,586,625
554,590,581
552,554,581
590,554,591
554,592,591
513,554,552
554,513,555
548,512,507
512,553,541
541,553,579
589,553,585
467,431,469
382,351,378
382,421,420
498,458,459
118,94,91
328,365,354
316,328,354
292,328,316
365,328,366
98,71,72
125,98,122
78,75,102
57,78,79
535,493,534
535,572,533
535,573,572
681,720,682
720,681,683
684,722,683
722,720,683
792,758,793
913,892,916
916,892,895
863,892,860
892,863,895
829,858,859
858,829,828
857,858,828
832,825,833
832,833,864
856,832,860
823,790,797
753,790,754
899,921,920
898,899,920
899,898,869
635,639,599
639,679,640
639,676,679
179,153,150
125,153,152
153,180,152
182,179,216
182,218,217
218,182,216
111,139,135
402,403,361
403,362,361
521,480,520
580,616,619
616,580,577
927,942,944
674,657,636
711,710,672
710,709,671
747,710,711
668,667,706
736,698,701
759,723,757
892,889,860
889,913,891
889,892,913
408,370,411
600,639,640
558,562,520
562,558,595
790,791,754
140,168,139
229,264,230
835,802,805
868,837,869
822,789,791
789,822,805
525,526,484
523,525,483
525,484,483
525,566,526
565,566,602
903,925,924
923,903,924
80,108,82
82,108,110
109,108,80
730,689,727
689,690,727
689,730,729
690,689,652
689,651,652
381,419,417
379,381,417
376,381,379
456,424,463
424,464,463
776,808,807
776,807,774
411,410,451
410,411,409
862,831,830
862,830,861
894,862,893
893,862,861
967,974,970
967,968,974
419,418,417
418,457,417
418,424,456
418,456,457
946,944,960
944,959,960
842,878,877
874,842,877
878,842,847
842,874,871
841,842,871
842,809,815
842,841,809
843,841,871
843,871,873
703,741,737
741,738,737
225,224,219
219,224,189
327,326,298
326,291,298
41,46,38
39,41,38
46,41,60
55,82,56
55,80,82
35,55,56
37,55,35
108,137,110
110,137,138
272,271,309
271,272,235
651,612,652
652,612,613
831,765,830
830,765,798
799,765,831
452,412,372
452,372,413
364,327,298
364,298,333
962,963,969
963,971,969
963,967,970
971,963,970
967,963,958
958,963,949
963,947,949
947,963,962
350,312,313
312,350,342
381,380,419
380,381,342
348,390,391
348,391,349
464,504,463
504,503,463
426,504,464
504,426,465
504,545,503
504,505,545
598,560,561
560,598,597
124,152,181
151,124,181
881,849,850
849,881,880
948,969,961
948,962,969
925,928,924
928,941,924
928,925,904
907,928,904
945,929,960
929,946,960
903,902,904
902,881,904
881,902,880
841,811,809
843,811,841
813,846,812
812,846,845
846,876,845
386,344,343
344,386,387
258,294,329
258,293,256
293,258,329
155,100,101
155,101,128
100,155,127
185,155,157
157,155,128
260,225,219
254,260,219
224,259,257
259,224,225
259,260,295
260,259,225
259,258,257
258,259,296
26,12,2
23,26,9
9,26,2
25,11,24
25,21,11
21,25,42
46,25,38
25,24,38
12,14,2
14,3,2
26,14,12
14,26,15
17,6,5
6,0,5
269,203,237
203,269,234
136,137,108
136,108,109
167,136,166
137,136,167
765,767,764
767,730,764
767,799,800
767,765,799
917,918,893
918,894,893
936,952,934
952,936,953
954,950,951
954,951,964
529,488,448
529,487,528
487,529,448
410,449,451
449,410,406
488,449,448
449,407,447
448,449,447
405,364,333
371,405,333
412,405,372
405,371,372
641,678,602
678,638,602
341,312,342
381,341,342
341,376,340
337,341,340
203,238,237
238,203,202
238,274,237
392,350,349
391,392,349
311,348,349
313,311,349
666,696,699
699,696,737
696,703,737
696,741,703
741,696,702
505,546,547
546,505,506
358,399,357
399,359,357
360,399,401
399,360,359
360,323,322
359,360,322
145,191,159
191,145,175
130,145,160
160,145,159
814,848,782
782,848,815
848,847,815
848,879,847
816,781,784
814,781,816
897,905,896
905,897,919
908,929,907
929,908,930
821,786,788
786,821,818
769,788,768
788,769,801
881,882,904
882,883,904
819,882,850
882,819,852
596,637,636
637,596,597
678,637,638
637,678,677
637,598,638
598,637,597
576,501,543
501,576,538
901,903,923
901,902,903
901,923,922
879,901,878
878,901,900
779,808,775
808,779,812
846,844,876
876,844,875
844,843,873
875,844,873
844,813,810
844,846,813
811,844,810
844,811,843
345,307,344
307,345,308
347,311,310
311,347,348
239,271,235
271,239,270
468,432,471
432,468,429
144,174,172
174,144,154
144,127,154
144,126,100
144,100,127
126,99,100
100,99,74
99,116,89
99,89,73
144,99,126
99,144,116
248,250,249
250,248,284
206,184,207
206,174,184
241,255,278
255,241,221
183,174,154
174,183,184
222,188,189
224,222,189
326,289,291
291,289,290
289,260,254
289,254,290
260,289,295
295,289,297
295,331,296
331,294,296
331,330,294
367,366,329
330,367,294
294,367,329
367,370,366
370,367,409
367,331,368
331,367,330
394,365,396
354,365,394
435,395,394
395,435,436
395,353,352
394,395,352
400,395,440
395,436,440
395,400,358
353,395,358
70,47,68
47,70,50
47,65,68
34,35,20
34,37,35
0,13,1
6,13,0
13,32,28
32,13,18
32,17,33
6,32,18
32,6,17
52,32,33
32,52,54
107,136,109
136,107,135
134,158,162
162,158,164
137,197,138
197,165,138
197,137,167
232,266,233
266,232,234
723,766,760
766,723,728
757,723,760
612,574,613
574,575,613
574,536,537
574,537,575
937,918,917
937,917,933
937,954,935
954,937,950
951,937,933
950,937,951
943,955,958
955,943,938
968,973,974
974,973,975
492,532,528
487,492,528
492,452,453
495,492,453
452,492,412
492,487,447
412,492,447
533,492,495
492,533,532
436,480,440
475,480,436
531,570,567
570,531,530
605,531,567
568,531,604
531,605,604
717,718,752
718,755,752
718,641,680
718,678,641
284,321,285
321,322,285
321,359,322
359,321,357
148,178,150
121,148,150
111,107,84
107,111,135
83,111,84
111,83,106
236,204,235
204,236,201
204,239,235
239,204,230
306,337,305
303,306,305
262,228,201
236,262,201
392,384,350
384,380,350
380,384,419
384,418,419
425,384,392
384,425,426
384,426,464
424,384,464
739,736,776
776,736,775
736,740,775
547,584,583
584,622,583
541,546,506
546,541,579
662,666,699
662,699,697
696,662,665
662,696,666
662,628,665
565,598,561
524,565,561
638,565,602
598,565,638
375,422,383
422,375,415
423,422,461
422,455,461
559,560,597
596,559,597
439,479,438
479,439,446
455,479,478
479,455,438
208,191,175
191,208,210
175,123,151
145,123,175
123,124,151
124,123,96
848,870,879
879,870,880
885,906,909
906,885,887
947,926,949
926,943,949
932,926,947
926,919,938
943,926,938
866,839,834
865,839,866
839,886,853
886,872,853
886,839,865
886,865,896
872,886,887
886,910,887
732,769,768
731,732,768
732,692,693
692,732,731
694,732,693
732,694,734
803,820,801
839,803,834
803,839,820
803,866,834
866,803,836
884,882,852
882,884,883
884,908,883
908,884,909
885,854,887
854,872,887
854,884,852
854,852,851
884,854,885
821,854,818
854,851,818
872,854,853
854,821,853
653,614,615
654,653,615
787,786,818
786,787,750
851,787,818
819,787,851
751,731,768
731,751,713
786,751,788
788,751,768
749,751,786
751,712,713
712,751,749
748,712,750
712,748,711
712,749,750
655,654,615
619,655,615
655,692,654
692,655,693
578,576,615
614,578,615
496,459,454
462,496,454
813,806,810
806,780,810
806,743,780
806,779,743
809,783,815
783,782,815
745,783,746
783,745,782
588,625,587
625,588,626
307,314,344
344,314,343
468,430,429
430,468,470
386,430,387
430,386,429
345,346,308
271,346,309
346,271,308
309,346,310
346,347,310
375,373,335
373,334,335
373,375,383
314,276,302
276,314,307
213,177,146
213,171,176
171,213,146
147,119,120
119,147,149
147,178,149
147,177,178
174,173,172
206,173,174
173,205,176
171,173,176
245,281,282
245,282,247
245,315,281
315,245,277
319,353,358
319,358,357
320,319,357
319,315,352
315,319,281
319,320,282
281,319,282
220,255,221
255,220,256
183,220,184
220,221,184
223,224,257
223,222,224
220,223,256
223,258,256
223,220,187
332,331,295
332,295,297
47,44,65
65,44,43
62,86,60
41,62,60
14,16,3
16,4,3
16,17,5
4,16,5
16,14,15
30,16,15
17,16,33
16,30,33
13,19,1
1,19,7
19,34,20
19,20,7
19,13,28
34,19,28
30,31,33
31,30,29
31,52,33
69,71,96
71,97,96
115,114,141
143,115,141
112,85,63
89,112,63
81,109,80
81,107,109
36,51,57
51,36,28
131,130,160
158,131,160
197,199,198
199,232,198
193,238,202
238,193,228
193,170,201
